# Chain:	[4585.2, 4172.3, 2550.85, 1721.43, 1011.8, 9.4057]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	6.533084359721818028e-30
1.517437185929648251e+02	2.305010988270455435e-31
2.271155778894472519e+02	3.425684274594931211e-32
3.024874371859296502e+02	8.983542500732240761e-33
3.778592964824120486e+02	3.204481116018477540e-33
4.532311557788945038e+02	1.384770377054070102e-33
5.286030150753769021e+02	6.830545391911516276e-34
6.039748743718593005e+02	3.706019501898888709e-34
6.793467336683416988e+02	2.162896788953832192e-34
7.547185929648240972e+02	1.337465680012438777e-34
8.300904522613064955e+02	1.459243516988339630e-14
9.054623115577890076e+02	9.468280972212755895e-18
9.808341708542714059e+02	4.602650565746995222e-17
1.056206030150753804e+03	3.323920308927136844e-17
1.131577889447236203e+03	4.653472859024944787e-15
1.206949748743718601e+03	3.763860435927099191e-18
1.282321608040200999e+03	6.072457435906217593e-18
1.357693467336683398e+03	1.030004136040135579e-17
1.433065326633165796e+03	6.453077360207806042e-17
1.508437185929648194e+03	1.117076038290084698e-16
1.583809045226130593e+03	4.653971712910426846e-18
1.659180904522612991e+03	9.736555278619807292e-20
1.734552763819095389e+03	1.088293615088245136e-14
1.809924623115578015e+03	3.186192778259592690e-15
1.885296482412060413e+03	4.853307463582472128e-14
1.960668341708542812e+03	3.275235130793275950e-17
2.036040201005025210e+03	1.065281380629546954e-19
2.111412060301507609e+03	1.784236231719905636e-17
2.186783919597990007e+03	1.183324051460437820e-18
2.262155778894472405e+03	7.005753791939084526e-19
2.337527638190954804e+03	1.715936682298094738e-20
2.412899497487437202e+03	1.072131373722965161e-20
2.488271356783919600e+03	6.162478890196988623e-19
2.563643216080401999e+03	3.233236418108628456e-18
2.639015075376884397e+03	1.321809056105785082e-16
2.714386934673366795e+03	3.256420479596703436e-19
2.789758793969849194e+03	9.117190256088809393e-21
2.865130653266331592e+03	2.583478118588144103e-20
2.940502512562813990e+03	4.703232598472310485e-22
3.015874371859296389e+03	1.442537512430203685e-22
3.091246231155778787e+03	7.211976599076656686e-23
3.166618090452261185e+03	6.870999659708267489e-23
3.241989949748743584e+03	2.927056555747821599e-23
3.317361809045225982e+03	3.295108621484803974e-23
3.392733668341708380e+03	2.829310970786074474e-23
3.468105527638190779e+03	6.830925306313576485e-23
3.543477386934673177e+03	1.763902701399096527e-22
3.618849246231156030e+03	8.650807033181980001e-22
3.694221105527638429e+03	6.096374895536833301e-20
3.769592964824120827e+03	4.210354207887768834e-21
