# Chain:	[3820.7, 3411.54, 2550.85, 1721.43, 1011.8, 9.4057]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	6.533084359721818028e-30
1.517437185929648251e+02	2.305010988270455435e-31
2.271155778894472519e+02	3.425684274594931211e-32
3.024874371859296502e+02	8.983542500732240761e-33
3.778592964824120486e+02	3.204481116018477540e-33
4.532311557788945038e+02	1.384770377054070102e-33
5.286030150753769021e+02	6.830545391911516276e-34
6.039748743718593005e+02	3.706019501898888709e-34
6.793467336683416988e+02	2.162896788953832192e-34
7.547185929648240972e+02	1.337465680012438777e-34
8.300904522613064955e+02	1.459243516988339630e-14
9.054623115577890076e+02	9.468280972212755895e-18
9.808341708542714059e+02	4.602650565746995222e-17
1.056206030150753804e+03	3.323920308927136844e-17
1.131577889447236203e+03	4.653472859024944787e-15
1.206949748743718601e+03	3.763860435927099191e-18
1.282321608040200999e+03	6.072457435906217593e-18
1.357693467336683398e+03	1.030004136040135579e-17
1.433065326633165796e+03	6.453077360207806042e-17
1.508437185929648194e+03	1.117076038290084698e-16
1.583809045226130593e+03	4.653971712910426846e-18
1.659180904522612991e+03	9.736555278619807292e-20
1.734552763819095389e+03	1.044740755790293826e-14
1.809924623115578015e+03	3.186033810299051576e-15
1.885296482412060413e+03	4.853303923635324553e-14
1.960668341708542812e+03	3.246404758175450577e-17
2.036040201005025210e+03	1.062892514937413362e-19
2.111412060301507609e+03	1.727775636254320853e-17
2.186783919597990007e+03	1.182991000352387350e-18
2.262155778894472405e+03	7.005510201042200232e-19
2.337527638190954804e+03	1.713801240314771285e-20
2.412899497487437202e+03	1.070488397854076241e-20
2.488271356783919600e+03	6.162422627158188212e-19
2.563643216080401999e+03	3.231653148816006046e-18
2.639015075376884397e+03	1.321788082925404265e-16
2.714386934673366795e+03	3.242999962760840960e-19
2.789758793969849194e+03	9.106026459990720623e-21
2.865130653266331592e+03	2.583052393019350436e-20
2.940502512562813990e+03	4.693676606524835665e-22
3.015874371859296389e+03	1.438681554806050983e-22
3.091246231155778787e+03	7.166944015033608856e-23
3.166618090452261185e+03	6.866902460911374405e-23
3.241989949748743584e+03	2.921108455360184217e-23
3.317361809045225982e+03	3.287417511188838885e-23
3.392733668341708380e+03	2.819597116667141558e-23
3.468105527638190779e+03	6.820656996992193905e-23
3.543477386934673177e+03	1.763390743503420798e-22
3.618849246231156030e+03	8.650250132977374484e-22
3.694221105527638429e+03	6.096368400674434242e-20
3.769592964824120827e+03	4.210198450671223192e-21
